Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs.
26/04/2019,Uva Globo,Primera,Caja de 11 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,450,550,500,
29/04/2019,Uva Globo,Primera,Caja de 11 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,450,550,500,
22/04/2019,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",7,7,7,
23/04/2019,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",7,7,7,
24/04/2019,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",7,7,7,
25/04/2019,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",7,7,7,
26/04/2019,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",7,7,7,
29/04/2019,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",7,7,7,
22/04/2019,Brócoli,Primera,Caja de 14 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",565,565,565,
23/04/2019,Brócoli,Primera,Caja de 14 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",565,565,565,
24/04/2019,Brócoli,Primera,Caja de 14 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",565,565,565,
25/04/2019,Brócoli,Primera,Caja de 14 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",565,565,565,
26/04/2019,Brócoli,Primera,Caja de 14 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",565,565,565,
29/04/2019,Brócoli,Primera,Caja de 14 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",565,565,565,
22/04/2019,Calabacita Criolla,Primera,Caja de 12 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",180,180,180,
23/04/2019,Calabacita Criolla,Primera,Caja de 12 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",180,180,180,
24/04/2019,Calabacita Criolla,Primera,Caja de 12 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",180,180,180,
25/04/2019,Calabacita Criolla,Primera,Caja de 12 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",180,180,180,
26/04/2019,Calabacita Criolla,Primera,Caja de 12 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",180,180,180,
29/04/2019,Calabacita Criolla,Primera,Caja de 12 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",180,180,180,
22/04/2019,Cebolla de rabo,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",5,5,5,
