Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs
22/04/2020,Manzana Red Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,430,640,490,
23/04/2020,Manzana Red Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,430,640,490,
24/04/2020,Manzana Red Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,430,640,490,
27/04/2020,Manzana Red Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,430,640,490,
28/04/2020,Manzana Red Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,430,640,580,
29/04/2020,Manzana Red Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,430,640,580,
22/04/2020,Naranja Valencia mediana,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,11.5,17,14,
23/04/2020,Naranja Valencia mediana,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,11.5,17,14,
24/04/2020,Naranja Valencia mediana,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,11.5,17,14,
27/04/2020,Naranja Valencia mediana,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,11.5,17,14,
28/04/2020,Naranja Valencia mediana,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,11.5,17,14.5,
29/04/2020,Naranja Valencia mediana,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,11.5,17,14.5,
22/04/2020,Toronja Roja,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,15,20,20,
23/04/2020,Toronja Roja,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,15,20,20,
24/04/2020,Toronja Roja,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,15,20,20,
27/04/2020,Toronja Roja,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,15,20,20,
28/04/2020,Toronja Roja,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,15,20,20,
29/04/2020,Toronja Roja,Primera,Kilogramo,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,15,20,20,
22/04/2020,Fresa,Primera,Caja de 5 kg.,Baja California,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",280,350,300,
23/04/2020,Fresa,Primera,Caja de 5 kg.,Baja California,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",280,340,300,
24/04/2020,Fresa,Primera,Caja de 5 kg.,Baja California,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",300,350,300,
27/04/2020,Fresa,Primera,Caja de 5 kg.,Baja California,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",300,340,320,
28/04/2020,Fresa,Primera,Caja de 5 kg.,Baja California,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",300,320,320,
29/04/2020,Fresa,Primera,Caja de 5 kg.,Baja California,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",300,340,300,
22/04/2020,Fresa,Primera,Caja de 10 kg.,Baja California,San Luis Potosí: Centro de Abasto de San Luis Potosí,450,455,450,
23/04/2020,Fresa,Primera,Caja de 10 kg.,Baja California,San Luis Potosí: Centro de Abasto de San Luis Potosí,450,455,450,
24/04/2020,Fresa,Primera,Caja de 10 kg.,Baja California,San Luis Potosí: Centro de Abasto de San Luis Potosí,450,455,450,
27/04/2020,Fresa,Primera,Caja de 10 kg.,Baja California,San Luis Potosí: Centro de Abasto de San Luis Potosí,450,455,450,
28/04/2020,Fresa,Primera,Caja de 10 kg.,Baja California,San Luis Potosí: Centro de Abasto de San Luis Potosí,450,455,450,
29/04/2020,Fresa,Primera,Caja de 10 kg.,Baja California,San Luis Potosí: Centro de Abasto de San Luis Potosí,450,455,450,
22/04/2020,Uva Globo,Primera,Caja de 11 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,500,600,550,
23/04/2020,Uva Globo,Primera,Caja de 11 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,500,600,550,
24/04/2020,Uva Globo,Primera,Caja de 11 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,500,600,550,
27/04/2020,Uva Globo,Primera,Caja de 11 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,500,600,550,
28/04/2020,Uva Globo,Primera,Caja de 11 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,500,600,550,
29/04/2020,Uva Globo,Primera,Caja de 11 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,500,600,550,
23/04/2020,Acelga,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",5,5,5,
24/04/2020,Acelga,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",5,5,5,
27/04/2020,Acelga,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",5,5,5,
28/04/2020,Acelga,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",5,5,5,
29/04/2020,Acelga,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",5,5,5,
23/04/2020,Apio,Primera,Pieza,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",15,15,15,
24/04/2020,Apio,Primera,Pieza,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",15,15,15,
27/04/2020,Apio,Primera,Pieza,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",15,15,15,
28/04/2020,Apio,Primera,Pieza,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",15,15,15,
29/04/2020,Apio,Primera,Pieza,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",15,15,15,
22/04/2020,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",20,20,20,
23/04/2020,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",5,5,5,
24/04/2020,Betabel,Primera,Manojo,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",5,5,5,
